============================================================================
--------------------------------
Processing add.v.lemma
--------------------------------
	Number of test instances = 100
adding positional word information to wordstream
make: `hdp' is up to date.

Program starts with following parameters:
algorithm:          = train
data_path:          = topicmodel_output/hdpdata.train.txt
directory:          = topicmodel_output
max_iter            = 300
save_lag            = -1
init_topics         = 0
random_seed         = 1372179636
gamma_a             = 1.00
gamma_b             = 0.10
alpha_a             = 1.00
alpha_b             = 1.00
eta                 = 0.50
#restricted_scans   = 5
split-merge         = no
sampling hyperparam = no

reading data from topicmodel_output/hdpdata.train.txt
number of docs  : 299
number of terms : 73
number of total words : 1524
starting with 4 topics 
iter = 00157, #topics = 0008, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6782.81886
iter = 00158, #topics = 0008, #tables = 0583, gamma = 0.10000, alpha = 1.00000, likelihood = -6783.11309
iter = 00159, #topics = 0008, #tables = 0575, gamma = 0.10000, alpha = 1.00000, likelihood = -6816.04583
iter = 00160, #topics = 0008, #tables = 0604, gamma = 0.10000, alpha = 1.00000, likelihood = -6841.83942
iter = 00161, #topics = 0008, #tables = 0563, gamma = 0.10000, alpha = 1.00000, likelihood = -6710.65738
iter = 00162, #topics = 0008, #tables = 0578, gamma = 0.10000, alpha = 1.00000, likelihood = -6762.70287
iter = 00163, #topics = 0009, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6779.46549
iter = 00164, #topics = 0008, #tables = 0572, gamma = 0.10000, alpha = 1.00000, likelihood = -6777.61210
iter = 00165, #topics = 0008, #tables = 0571, gamma = 0.10000, alpha = 1.00000, likelihood = -6745.93774
iter = 00166, #topics = 0008, #tables = 0584, gamma = 0.10000, alpha = 1.00000, likelihood = -6707.36691
iter = 00167, #topics = 0008, #tables = 0597, gamma = 0.10000, alpha = 1.00000, likelihood = -6770.78948
iter = 00168, #topics = 0008, #tables = 0593, gamma = 0.10000, alpha = 1.00000, likelihood = -6735.25425
iter = 00169, #topics = 0008, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6732.84096
iter = 00170, #topics = 0008, #tables = 0601, gamma = 0.10000, alpha = 1.00000, likelihood = -6715.86521
iter = 00171, #topics = 0008, #tables = 0626, gamma = 0.10000, alpha = 1.00000, likelihood = -6766.78882
iter = 00172, #topics = 0008, #tables = 0589, gamma = 0.10000, alpha = 1.00000, likelihood = -6668.65390
iter = 00173, #topics = 0008, #tables = 0574, gamma = 0.10000, alpha = 1.00000, likelihood = -6738.32498
iter = 00174, #topics = 0008, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6763.44642
iter = 00175, #topics = 0009, #tables = 0573, gamma = 0.10000, alpha = 1.00000, likelihood = -6772.99362
iter = 00176, #topics = 0009, #tables = 0565, gamma = 0.10000, alpha = 1.00000, likelihood = -6669.66106
iter = 00177, #topics = 0009, #tables = 0603, gamma = 0.10000, alpha = 1.00000, likelihood = -6749.01131
iter = 00178, #topics = 0009, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6641.08855
iter = 00179, #topics = 0008, #tables = 0613, gamma = 0.10000, alpha = 1.00000, likelihood = -6742.22256
iter = 00180, #topics = 0008, #tables = 0595, gamma = 0.10000, alpha = 1.00000, likelihood = -6745.74227
iter = 00181, #topics = 0008, #tables = 0602, gamma = 0.10000, alpha = 1.00000, likelihood = -6757.30461
iter = 00182, #topics = 0009, #tables = 0581, gamma = 0.10000, alpha = 1.00000, likelihood = -6700.38736
iter = 00183, #topics = 0009, #tables = 0572, gamma = 0.10000, alpha = 1.00000, likelihood = -6710.19090
iter = 00184, #topics = 0009, #tables = 0581, gamma = 0.10000, alpha = 1.00000, likelihood = -6799.71064
iter = 00185, #topics = 0008, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6796.57717
iter = 00186, #topics = 0008, #tables = 0591, gamma = 0.10000, alpha = 1.00000, likelihood = -6789.43172
iter = 00187, #topics = 0008, #tables = 0586, gamma = 0.10000, alpha = 1.00000, likelihood = -6826.76461
iter = 00188, #topics = 0008, #tables = 0612, gamma = 0.10000, alpha = 1.00000, likelihood = -6764.36009
iter = 00189, #topics = 0008, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6785.36457
iter = 00190, #topics = 0008, #tables = 0567, gamma = 0.10000, alpha = 1.00000, likelihood = -6663.83509
iter = 00191, #topics = 0008, #tables = 0573, gamma = 0.10000, alpha = 1.00000, likelihood = -6789.18115
iter = 00192, #topics = 0008, #tables = 0586, gamma = 0.10000, alpha = 1.00000, likelihood = -6784.36948
iter = 00193, #topics = 0008, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6755.47446
iter = 00194, #topics = 0008, #tables = 0599, gamma = 0.10000, alpha = 1.00000, likelihood = -6712.57845
iter = 00195, #topics = 0008, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6743.00559
iter = 00196, #topics = 0008, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6786.46945
iter = 00197, #topics = 0008, #tables = 0608, gamma = 0.10000, alpha = 1.00000, likelihood = -6854.75067
iter = 00198, #topics = 0008, #tables = 0606, gamma = 0.10000, alpha = 1.00000, likelihood = -6802.63580
iter = 00199, #topics = 0008, #tables = 0586, gamma = 0.10000, alpha = 1.00000, likelihood = -6740.98316
iter = 00200, #topics = 0008, #tables = 0582, gamma = 0.10000, alpha = 1.00000, likelihood = -6763.63924
iter = 00201, #topics = 0008, #tables = 0591, gamma = 0.10000, alpha = 1.00000, likelihood = -6802.12217
iter = 00202, #topics = 0008, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6764.09412
iter = 00203, #topics = 0008, #tables = 0587, gamma = 0.10000, alpha = 1.00000, likelihood = -6729.61364
iter = 00204, #topics = 0008, #tables = 0588, gamma = 0.10000, alpha = 1.00000, likelihood = -6704.79849
iter = 00205, #topics = 0008, #tables = 0575, gamma = 0.10000, alpha = 1.00000, likelihood = -6695.88419
iter = 00206, #topics = 0009, #tables = 0580, gamma = 0.10000, alpha = 1.00000, likelihood = -6750.74646
iter = 00207, #topics = 0009, #tables = 0592, gamma = 0.10000, alpha = 1.00000, likelihood = -6671.08259
iter = 00208, #topics = 0009, #tables = 0590, gamma = 0.10000, alpha = 1.00000, likelihood = -6699.28295
iter = 00209, #topics = 0009, #tables = 0585, gamma = 0.10000, alpha = 1.00000, likelihood = -6713.49406
iter = 00210, #topics = 0009, #tables = 0603, gamma = 0.10000, alpha = 1.00000, likelihood = -6730.37659
iter = 00211, #topics = 0009, #tables = 0596, gamma = 0.10000, alpha = 1.00000, likelihood = -6738.27675
iter = 00212, #topics = 0009, #tables = 0578, gamma = 0.10000, alpha = 1.00000, likelihood = -6665.69389
iter = 00213, #topics = 0009, #tables = 0623, gamma = 0.10000, alpha = 1.00000, likelihood = -6694.23616
iter = 00214, #topics = 0009, #tables = 0609, gamma = 0.10000, alpha = 1.00000, likelihood = -6723.91351
iter = 00215, #topics = 0008, #tables = 0597, gamma = 0.10000, alpha = 1.00000, likelihood = -6715.91200
iter = 00216, #topics = 0009, #tables = 0600, gamma = 0.10000, alpha = 1.00000, likelihood = -6712.81091
iter = 00217, #topics = 0008, #tables = 0610, gamma = 0.10000, alpha = 1.00000, likelihood = -6747.89708
iter = 00218, #topics = 0008, #tables = 0604, gamma = 0.10000, alpha = 1.00000, likelihood = -6743.48677
iter = 00219, #topics = 0008, #tables = 0607, gamma = 0.10000, alpha = 1.00000, likelihood = -6746.35314
iter = 00220, #topics = 0008, #tables = 0598, gamma = 0.10000, alpha = 1.00000, likelihood = -6745.10042
iter = 00221, #topics = 0008, #tables = 0611, gamma = 0.10000, alpha = 1.00000, likelihood = -6786.16930
iter = 00222, #topics = 0009, #tables = 0604, gamma = 0.10000, alpha = 1.00000, likelihood = -6814.59725
iter = 00223, #topics = 0009, #tables = 0611, gamma = 0.10000, alpha = 1.00000, likelihood = -6827.20932
iter = 00224, #topics = 0009, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6788.63582
iter = 00225, #topics = 0008, #tables = 0599, gamma = 0.10000, alpha = 1.00000, likelihood = -6741.62869
iter = 00226, #topics = 0008, #tables = 0594, gamma = 0.10000, alpha = 1.00000, likelihood = -6814.25615
iter = 00227, #topics = 0008, #tables = 0611, gamma = 0.10000, alpha = 1.00000, likelihood = -6824.85796
iter = 00228, #topics = 0008, #tables = 0607, gamma = 0.10000, alpha = 1.00000, likelihood = -6752.51218
iter = 00229, #topics = 0008, #tables = 0616, gamma = 0.10000, alpha = 1.00000, likelihood = -6768.53725
iter = 00230, #topics = 0008, #tables = 0611, gamma = 0.10000, alpha = 1.00000, likelihood = -6783.69326
